file,srcnn,nearest,linear,cubic
01.jpg,36.824,36.903,36.83,37.192
2_��ͼ��.jpg,39.851,38.565,39.743,40.373
30.jpg,37.331,36.921,37.553,37.744
3da8f1a0660a8d5e7d21d88f53d729085f9d0727_s2_n1.png,37.515,37.755,37.999,37.946
412f3114d655be16a3322b1161fc3238a82ad045_s2_n1_��ͼ��.png,45.455,44.229,45.803,46.953
4e11ff42cefd1a11b0b521d37cbd1ffea869a578_s2_n1.png,41.123,42.17,41.843,41.771
hacg.fun_12.jpg,35.635,35.402,35.688,35.88
hacg.fun_16_��ͼ��.jpg,41.551,40.652,41.765,42.209
hacg.fun_17.jpg,41.769,41.177,41.914,42.215
Konachan.com - 247299 bra brown_eyes brown_hair loundraw original panties see_through shade short_hair signed silhouette underwear undressing.jpg,40.48,38.979,40.783,41.169
Konachan.com - 253016 sample.jpg,38.27,37.229,38.729,38.701
Konachan.com - 253860 aqua_eyes aqua_hair hatsune_miku headphones long_hair saihate skirt thighhighs tie twintails vocaloid wink.jpg,35.761,36.938,36.328,36.025
Konachan.com - 254412 brown_eyes brown_hair loundraw original paper short_hair signed.jpg,36.191,36.737,36.717,36.518
Konachan.com - 254639 3d book dark industrial nobody novelance original paper scenic.jpg,42.039,41.409,42.116,42.438
Konachan.com - 254641 3d book nobody novelance original paper scenic_��ͼ��.jpg,36.633,36.2,36.392,37.022
Konachan.com - 254642 3d book drums guitar instrument nobody novelance original scenic.jpg,40.976,40.025,40.886,41.324
Konachan.com - 254643 2girls 3d black_hair blue_eyes drums glasses guitar instrument novelance original paper scenic short_hair shorts.jpg,42.524,41.836,42.859,43.38
Konachan.com - 255225 animal brown_hair fox foxgirl japanese_clothes koyuki_ekaki orange_eyes original short_hair stairs torii umbrella.jpg,34.516,34.683,34.772,34.795
Konachan.com - 255390 clouds hati_98 nobody original polychromatic scenic sky train.jpg,43.081,41.869,44.082,44.337
Konachan.com - 256700 book brown_hair bunny long_hair loundraw original phone polychromatic signed sketch umbrella.jpg,37.367,38.563,37.922,37.854
wallhaven-13w8k3.png,35.446,36.417,36.01,35.834
wallhaven-13wl8g.jpg,42.253,41.815,43.143,43.116
wallhaven-1j598g.jpg,44.954,40.597,44.987,47.304
wallhaven-1j693w.png,36.816,36.639,36.898,37.042
wallhaven-1jov81.png,39.117,35.961,36.377,38.703
wallhaven-2e2m7y.jpg,35.803,35.859,36.021,36.07
wallhaven-2e518y.jpg,39.475,39.673,40.022,40.057
wallhaven-2e668m.jpg,35.611,36.017,35.886,36.009
wallhaven-3967kv.jpg,37.441,38.132,37.945,38.042
wallhaven-42ereg.png,32.661,32.633,32.769,32.864
wallhaven-47j1lo.jpg,34.457,33.76,34.263,34.684
wallhaven-48kw61.png,29.995,30.882,30.028,30.319
wallhaven-4d59kg.jpg,30.71,30.963,30.852,30.854
wallhaven-4gx76q.jpg,35.151,35.431,35.44,35.459
wallhaven-4xexrd.jpg,32.781,33.502,33.079,33.102
wallhaven-6k1m56.jpg,34.593,34.971,34.715,34.829
wallhaven-6kmly7.png,37.727,38.07,38.315,38.277
wallhaven-6kydxl.jpg,40.096,39.108,39.921,40.579
wallhaven-6kz79q.jpg,34.281,33.27,33.867,34.487
wallhaven-73l2k3.png,38.885,38.33,38.696,39.239
wallhaven-8xo1eo.jpg,34.734,35.367,35.187,35.074
wallhaven-95o71x.jpg,43.004,43.75,43.971,44.056
wallhaven-9626w8.png,45.14,43.693,45.562,46.581
wallhaven-dgdq8m.png,42.141,41.659,42.358,42.962
wallhaven-ey6pzo.png,37.118,38.151,37.736,37.733
wallhaven-g8l393.jpg,37.164,39.655,37.978,38.229
wallhaven-g8v97q.jpg,41.388,41.027,41.484,42.029
